Downloads;Link;Size;Rating;Authors;Difficulty;Exits;Featured;Demo;Date;Id;Name
513;https://dl.smwcentral.net/9992/The%20Sixty-four%20Trials%20Demo%201.zip;30510;3;"[""Mariowings77""]";Easy;18;false;true;2015-11-04T10:51:17.0;9992;The Sixty-four Trials
1130;https://dl.smwcentral.net/15486/TheVanilla%201.3.zip;116730;3;"[""TheRobju""]";Easy;8;false;true;2017-04-20T18:36:03.0;15486;The Vanilla
381;https://dl.smwcentral.net/9697/TDPV03.zip;129710;3;"[""nintendofreck""]";Easy;21;false;true;2015-08-14T10:33:06.0;9697;Those Darn Plumbers
7318;https://dl.smwcentral.net/10241/Thunderstruck%20demo%202012%20v1A.zip;184340;3;"[""Jackie""]";Normal;22;false;true;2015-11-18T18:55:32.0;10241;Thunderstruck Mario
534;https://dl.smwcentral.net/9783/Hack.zip;36420;3;"[""Caped Mario2""]";Kaizo: Light;5;false;true;2015-03-30T15:04:54.0;9783;Untitled ROM Hack
1032;https://dl.smwcentral.net/6548/Good%20Question%21.zip;136500;2.9;"[""MercuryPenny""]";Hard;6;false;false;2014-05-22T16:36:12.0;6548;Good Question!
816;https://dl.smwcentral.net/9952/Hyper%20Hentai%20Hotties.zip;17780;2.8;"[""scrimpy""]";Normal;7;false;false;2015-07-30T08:41:43.0;9952;Hyper Hentai Hotties
1076;https://dl.smwcentral.net/6550/mushroom%20kingdom%20invasion.zip;33830;2.8;"[""mario and luigi""]";Normal;7;false;true;2014-05-22T09:39:43.0;6550;Mushroom Kingdom Invasion
1175;https://dl.smwcentral.net/13982/Bowser%27s%20Castle.zip;21690;2.7;"[""PMH""]";Normal;1;false;false;2016-07-28T20:15:14.0;13982;Bowser's Castle
477;https://dl.smwcentral.net/10007/Marios%20Supper%20World.zip;37280;2.7;"[""therealSWK""]";Normal;6;false;false;2015-07-22T10:36:29.0;10007;Mario's Supper World
476;https://dl.smwcentral.net/9691/Pandemonium%20Fortress.zip;47760;2.7;"[""Caracc""]";Normal;20;false;false;2015-02-09T20:27:00.0;9691;Pandemonium Fortress
1453;https://dl.smwcentral.net/13582/Mario%20in%20Another%20Land.zip;162450;2.5;"[""gio9002""]";Easy;7;false;false;2016-04-22T11:49:20.0;13582;Mario in Another Land
790;https://dl.smwcentral.net/10016/8%20Trials%20Await.zip;100820;2.5;"[""GearboxGoober""]";Easy;8;false;false;2015-09-29T19:07:34.0;10016;8 Trials Await
831;https://dl.smwcentral.net/10167/In%20Memoriam%20Hack%20Pack.zip;421690;2.5;"[""Spud Alpha""]";Normal;11;false;false;2015-08-05T14:49:07.0;10167;In Memoriam Hack Pack
710;https://dl.smwcentral.net/10098/Mario%20and%20the%205%20Golden%20Eggs.zip;107510;2.5;"[""Zildjian""]";Normal;6;false;false;2015-07-29T07:25:26.0;10098;Mario and The 5 Golden Eggs
517;https://dl.smwcentral.net/10130/Super%20Mario%20and%20the%20Underwater%20Lab.zip;86630;2.5;"[""Yonowaaru""]";Normal;7;false;true;2015-10-20T17:55:48.0;10130;Super Mario and the Undersea Lab
356;https://dl.smwcentral.net/10267/SMW%20A%20New%20Adventure%202.zip;133940;2.5;"[""drake-68""]";Easy;5;false;true;2015-05-06T19:41:54.0;10267;Super Mario World: A New Adventure 2
355;https://dl.smwcentral.net/9801/Super%20Mario%20World%20Jurassic%20Path%20%28Demo%201%29.zip;26980;2.5;"[""Mario's Dog""]";Easy;6;false;true;2015-03-03T21:17:41.0;9801;Super Mario World: Jurassic Path
23242;https://dl.smwcentral.net/12691/rwario.zip;190210;2.4;"[""SMWHackedHACK""]";Normal;4;false;true;2015-11-26T00:43:37.0;12691;Red Wario
2203;https://dl.smwcentral.net/9840/Iggy%27s%20Island%20Zip.zip;12640;2.3;"[""Pirate Yoshi""]";Easy;5;false;false;2015-08-07T12:38:40.0;9840;Super Mario World: Iggy's Island
342;https://dl.smwcentral.net/9970/the%20stolen%20yoshi%20coins.zip;82360;2.3;"[""super pokemon world""]";Easy;4;false;true;2015-07-24T12:32:44.0;9970;The Stolen Yoshi Coins
410;https://dl.smwcentral.net/10012/Super%20Mario%20HFTDC.zip;129740;2.3;"[""JDC""]";Easy;7;false;true;2015-10-02T17:36:24.0;10012;Super Mario World: Hunt for the Dragon Coins
407;https://dl.smwcentral.net/9742/Adventure%20of%20the%20red%20plumber.zip;8700;2.1;"[""guitar god527""]";Easy;3;false;true;2015-02-09T20:38:34.0;9742;Adventure Of The Red Plumber
1333;https://dl.smwcentral.net/13214/VP.zip;99640;2.1;"[""gameboyjeremy""]";Kaizo: Light;25;false;false;2016-04-14T04:34:58.0;13214;VP
876;https://dl.smwcentral.net/9857/Athletic%20Plumber%20Twins.zip;48180;2;"[""Shuffles""]";Normal;24;false;true;2015-08-22T18:50:55.0;9857;Athletic Plumber Twins
345;https://dl.smwcentral.net/9837/mario%20-%20tcuh.zip;136860;2;"[""Halzyn""]";Hard;6;false;true;2015-08-01T18:44:28.0;9837;Mario - The Currently Unnamed Hack
1716;https://dl.smwcentral.net/9968/Mario%20and%20the%20pipe%20of%20challenges.zip;87270;2;"[""LuigiPikachu""]";Easy;6;false;true;2015-09-17T12:06:59.0;9968;Mario and the Pipe of Challenges
5300;https://dl.smwcentral.net/10141/mario%20in%20a%20strange%20adventure.zip;164150;2;"[""Fan-cristian-Yuyuko-""]";Normal;5;false;true;2015-10-12T03:29:47.0;10141;Mario in a Strange Adventure
393;https://dl.smwcentral.net/10068/M%20Is%20Missing%203.zip;99140;2;"[""MetalUpYourAss""]";Easy;3;false;true;2015-05-12T00:51:53.0;10068;Mario Is Missing 3: Mario's Wreck
367;https://dl.smwcentral.net/9897/mario%21%20nera.zip;15900;2;"[""Tahixham""]";Easy;5;false;true;2015-08-04T04:53:48.0;9897;Mario! A New Era
432;https://dl.smwcentral.net/10217/%282004%29%20Mario%27s%20New%20World.zip;91920;2;"[""noon""]";Normal;5;false;false;2015-07-30T07:25:37.0;10217;Mario's New World
341;https://dl.smwcentral.net/9981/Mystical%20island%201.0.2.zip;23340;2;"[""nicknick293""]";Easy;4;false;true;2015-09-10T12:02:32.0;9981;Mystical Island
394;https://dl.smwcentral.net/9979/smi.zip;117150;2;"[""K3Blue64""]";Easy;17;false;true;2015-09-05T19:04:08.0;9979;New Super Mario Illusion
524;https://dl.smwcentral.net/18794/Persona%20Non%20Grata.zip;465520;2;"[""bluesaint""]";Kaizo: Light;12;false;false;2019-01-28T21:47:43.0;18794;Persona Non Grata
589;https://dl.smwcentral.net/9985/Quick%20Delivery%5BDemo%5D.zip;71380;2;"[""superman6791""]";Normal;4;false;true;2015-09-29T18:41:19.0;9985;Quick Delivery
466;https://dl.smwcentral.net/9758/Strange%20Mario%20World.zip;35810;2;"[""Acmlm""]";Normal;6;false;true;2015-02-21T19:49:51.0;9758;Strange Mario World
815;https://dl.smwcentral.net/9881/Super%20impressive%20world.zip;17020;2;"[""Jack Levin""]";Easy;6;false;true;2015-08-20T12:30:08.0;9881;Super Impressive World
718;https://dl.smwcentral.net/10138/Super%20Mario%20World%20patch.zip;26160;2;"[""thekenbaum""]";Easy;8;false;true;2015-10-31T11:25:01.0;10138;Super Mario World 3 - Bowser's Revenge
366;https://dl.smwcentral.net/9991/Bowser%27s%20Trial.zip;23660;2;"[""Tio broz""]";Easy;7;false;true;2015-09-23T18:36:33.0;9991;Super Mario World: Bowser's Trial
348;https://dl.smwcentral.net/9879/Super%20Odd%20World%202.zip;23240;2;"[""Pirate Yoshi""]";Easy;5;false;true;2015-08-05T23:26:36.0;9879;Super Odd World 2
355;https://dl.smwcentral.net/9781/Super%20race%20world.zip;31290;2;"[""The insane little elf""]";Hard;5;false;true;2015-03-18T16:05:50.0;9781;Super Race World
336;https://dl.smwcentral.net/9922/The%20Lost%20World%20Journey.zip;99190;2;"[""Team Haunted""]";Normal;4;false;true;2015-03-04T02:32:23.0;9922;The Lost World Journey
488;https://dl.smwcentral.net/9861/SMW%20Mario%27s%20Cool%20Mission.zip;19830;1.8;"[""Woody""]";Easy;6;false;true;2015-08-13T12:17:16.0;9861;Mario's Cool Mission
361;https://dl.smwcentral.net/9859/HAKURANKAI%20DEMO.zip;100440;1.7;"[""CoinBandit"", ""Kiki-mewmew""]";Normal;5;false;true;2015-07-28T21:10:58.0;9859;Hakurankai Mario
738;https://dl.smwcentral.net/17002/LA_1_10.zip;486650;;"[""Sariel""]";Kaizo: Light;5;false;true;2018-02-06T02:05:30.0;17002;LEGATVM ALBATI
1015;https://dl.smwcentral.net/19535/Super%20Mario%20World%20-%20Some%20Random%20Adventure%20%28Demo%202%29.zip;375460;;"[""TheSpeedyJay""]";Normal;15;false;true;2019-04-05T16:17:22.0;19535;Super Mario World - Some Random Adventure
1052;https://dl.smwcentral.net/17489/Super%20Sekai%20World%201.5.zip;356350;;"[""ShadoWingx""]";Kaizo: Light;25;false;false;2018-05-13T01:56:25.0;17489;Super Sekai World
840;https://dl.smwcentral.net/18426/Super_Stacey_World_1.2.zip;247550;;"[""dylanofinsanity""]";Kaizo: Light;15;false;false;2018-11-06T00:20:57.0;18426;Super Stacey World
